temperature,humidity,wind_speed,wind_direction,cloud_cover,pressure,visibility,precipitation,uv_index,dew_point,weather
10.6,82.6,27.2,254.9,98.1,1001.7,7.1,6.1,1.5,12.7,Rainy
7.3,80.2,21.6,143.9,88.0,1003.9,3.0,13.9,2.0,13.1,Rainy
16.2,87.6,36.0,246.3,93.5,989.8,3.7,11.3,1.5,17.1,Thunderstorm
16.6,81.7,9.3,196.8,91.7,1011.2,4.0,1.7,2.8,10.4,Rainy
25.4,54.2,10.2,59.5,27.4,1014.8,11.2,0.0,3.8,17.7,Partly Cloudy
20.7,62.9,14.3,41.7,79.0,1015.9,6.6,1.7,1.9,9.4,Cloudy
11.7,71.4,5.7,349.8,87.8,1012.8,10.2,0.8,2.2,12.5,Cloudy
14.1,65.9,16.2,113.2,85.8,1010.1,6.4,0.0,2.2,15.2,Cloudy
20.8,73.0,9.2,38.0,85.7,1001.1,7.3,3.4,2.8,10.7,Cloudy
28.2,28.0,8.7,82.1,20.2,1016.5,7.0,0.2,7.2,10.8,Sunny
12.3,75.9,27.4,145.4,78.3,1004.9,5.9,11.3,0.9,9.7,Rainy
32.3,30.6,9.7,124.2,21.5,1023.3,7.5,0.7,12.3,16.9,Sunny
12.7,58.3,17.2,354.0,91.8,1017.3,6.8,1.3,3.4,18.8,Cloudy
18.3,82.1,23.2,6.0,56.4,1010.4,4.8,2.7,2.1,17.6,Cloudy
26.9,59.3,10.8,194.9,48.1,1009.9,14.2,0.0,5.2,18.0,Partly Cloudy
30.8,44.6,5.7,304.8,7.7,1023.3,17.6,0.9,9.1,11.3,Sunny
39.3,39.7,5.2,256.4,15.3,1014.2,11.6,0.4,10.5,13.7,Sunny
34.7,41.3,22.2,229.1,14.3,1010.5,15.0,0.2,7.7,15.5,Sunny
35.7,85.7,23.9,260.1,94.8,989.4,5.0,13.4,2.1,19.9,Thunderstorm
17.7,55.5,14.4,96.7,47.2,1008.4,11.3,1.5,3.6,9.8,Cloudy
21.6,39.7,19.4,49.2,34.6,1017.2,17.3,0.3,2.5,16.6,Partly Cloudy
9.3,84.1,55.8,287.4,100.0,1011.9,6.5,8.7,0.8,7.5,Rainy
32.6,43.2,10.4,353.5,34.5,1015.7,12.4,1.4,2.2,17.9,Partly Cloudy
13.0,84.4,14.8,30.7,90.4,1000.4,10.3,10.5,-0.0,12.6,Rainy
23.5,15.1,6.6,66.4,16.7,1017.3,12.6,0.0,8.3,11.5,Sunny
12.5,92.9,6.2,186.0,58.2,1021.6,0.8,0.6,1.7,6.6,Foggy
16.8,86.2,17.6,177.0,89.5,995.9,5.8,0.0,0.7,16.6,Rainy
30.3,50.0,18.8,194.2,51.7,1022.7,13.0,1.9,5.9,18.1,Partly Cloudy
15.5,86.1,22.1,139.0,75.9,1011.7,6.1,1.7,2.5,11.2,Cloudy
18.4,71.7,35.6,337.2,89.3,1001.5,6.1,10.0,3.7,6.4,Rainy
17.9,66.2,25.7,122.7,67.9,1019.3,6.7,1.4,3.3,13.0,Cloudy
34.7,41.8,8.8,140.1,7.8,1014.9,20.7,0.5,4.4,10.2,Sunny
